HomeownershipRate,UnemploymentRate,Housing_Supply_Demand_Ratio,VacantHousingUnits_1,TotalShipmentsofNewHomes,MedianListingPriceperSquareFeet,Affordability_Level
63.7,5.0,0.01293859649122807,2093.0,72.0,120.0383723137896,Expensive
63.8,5.0,0.011618257261410787,2033.0,74.0,120.71700727237612,Very Expensive
63.8,5.1,0.010912698412698412,2033.0,75.0,121.39947888251116,Very Expensive
63.8,5.0,0.00934065934065934,2033.0,76.0,122.08580883464091,Very Expensive
63.5,4.8,0.011089108910891089,2093.0,78.0,122.77601894183832,Expensive
63.5,4.9,0.010638297872340425,2093.0,77.0,123.470131140496,Expensive
63.5,5.0,0.010338345864661654,2093.0,79.0,124.16816749102372,Expensive
62.9,5.1,0.008680555555555556,2085.0,79.0,124.87015017854934,Very Expensive
62.9,4.8,0.00893169877408056,2085.0,79.0,125.57610151362404,Very Expensive
62.9,4.9,0.009515260323159785,2085.0,80.0,126.28604393293128,Very Expensive
63.5,4.8,0.007165605095541401,2054.0,75.0,127.0,Very Expensive
63.5,4.9,0.008695652173913044,2054.0,80.0,126.0,Very Expensive
63.5,5.0,0.00931899641577061,2054.0,83.0,126.0,Very Expensive
63.7,4.9,0.009043478260869566,2181.0,84.0,127.0,Very Expensive
63.7,4.7,0.009106830122591945,2181.0,87.0,126.0,Very Expensive
63.7,4.7,0.009625668449197862,2181.0,94.0,125.0,Very Expensive
63.6,4.7,0.009424083769633508,2077.0,100.0,126.0,Very Expensive
63.6,4.6,0.009028960817717206,2077.0,94.0,128.0,Very Expensive
63.6,4.4,0.007911392405063292,2077.0,89.0,130.0,Very Expensive
63.7,4.4,0.009030100334448161,2224.0,89.0,132.0,Very Expensive
63.7,4.4,0.008031496062992126,2224.0,88.0,133.0,Very Expensive
63.7,4.3,0.008562197092084006,2224.0,89.0,134.0,Very Expensive
63.9,4.3,0.01013986013986014,2243.0,84.0,134.0,Very Expensive
63.9,4.4,0.010971223021582733,2243.0,90.0,133.0,Very Expensive
63.9,4.3,0.008320251177394034,2243.0,92.0,133.0,Very Expensive
64.2,4.2,0.00878594249201278,2186.0,97.0,134.0,Very Expensive
64.2,4.2,0.006751054852320675,2186.0,100.0,133.0,Very Expensive
64.2,4.1,0.008888888888888889,2186.0,108.0,133.0,Very Expensive
